,id,HotelName,sponsor,event,venue,City&Country,measurements,occasion,notes,call_number,keywords,language,date,place,place_type,currency,currency_symbol,status,page_count,dish_count
6188,22941,,HAMBURG-AMERIKA LINE,LUNCH,COMMERCIAL,"ENROUTE STEAMER ""FURST BISMARCK""",BROADSIDE; ILLUS; COL; 5 X 8;,DAILY LUNCH,MENU IN BOTH GERMAN & ENGLISH,1899-806,,,1899-12-08,Hamburg Amerika Line,,,,complete,2,28
16864,34631,Saengerbund Hall,Saengerbund Hall,,,,,,Golden Jubilee of Brooklyn Saengerbund,1912-0815_wotm,,,1912-01-01,Saengerbund Hall,,,,complete,1,20
2639,16816,,NORDDEUTSCHER LLOYD  BREMEN,MIDDAY MEAL,COMMERCIAL,EN ROUTE ABOARD DAMPFER LAHN,CARD; COL; ILLUS; 5.5 X 8.25;,,MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF STEAMER AND ROCKY SHORE; BACK OF CARD PRINTED AS POSTCARD FOR MAILING;,1901-1255,,,1901-05-12,Norddeutscher Lloyd  Bremen,,,,complete,2,26
15946,33588,Parker Studio,Parker Studio,,,,22x16cm,,Disciples of Pantagruel,1914-0047_wotm,,,1914-01-14,Parker Studio,,,,complete,1,16
14579,32184,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,19x12.5cm,,,1916-0099_wotm,,,1916-07-10,[Restaurant name and/or location not given],,Dollars,$,complete,1,25
10608,28110,,Estate Carlton,,,,29x24cm,,,1967-0014_wotm,,,1967-04-14,Estate Carlton,,,,complete,1,20
3933,20280,,HOTEL SAVOY,LUNCHEON,COMMERCIAL,"FIFTH AVENUE AND 59TH STREET, NEW YORK, NY",CARD; 6.25 X 9.25;,,AMERICAN PLAN MENU; LOGO; NOTE ABOUT PURITY OF WATER;,1900-2444,,,1900-03-14,Hotel Savoy,,,,complete,2,56
13128,30676,,"S.S. ""Europa""""""",,,,25.5x15.5cm folded; 25.5x31cm open,,Menu also contains English text,1937-0164_wotm,,,1937-09-09,"S.S. ""Europa""""""",,,,complete,4,52
2923,17479,,,,,,,,,,,,1900-02-14,Cafeteria   Lunch,,Dollars,$,complete,4,120
12984,30532,,Hotel Saskatchewan,,,,16.5x9cm folded; 16.5x18cm open,,Afternoon Tea,1937-0006_wotm,,,1937-01-01,Hotel Saskatchewan,,Canadian Dollars,C$,complete,2,14
11438,28952,,"Tn. \Leonardo Da Vinci\""""",,,,32x23.5cm folded; 32x47cm open,,English is secondary language,1963-0034_wotm,,,1963-07-03,"Tn. \Leonardo Da Vinci\""""",,,,complete,3,259
9210,26662,,Ziggy's,,RESTAURANT,Ziggy's,Booklet; 10 x 16 inches; laminated,,Dieter Zander Collection; inside pages are stuck together.,Zander 273 undated,,,,Ziggy's,,,,complete,3,0
551,13150,,GORDON HOTEL,DINNER,COMMERCIAL,"WASHINGTON,D.C.",BOOKLET;ILLUS; COL; 5 X 7;,DAILY,HOURS FOR ORCHESTRA INCLUDED;,1900-3219,,,1900-05-10,Gordon Hotel,,,,complete,4,50
5937,22635,,HOTEL ALGAZAR,THANKSGIVING DINNER,COMMERCIAL,"ST.AUGUSTINE,FLORIDA",BOOKLET;ILLUS;COL;5.25X7;,SECULAR HOLIDAY;,10 PENCILED SIGNATURES;MUSICAL PROGRAM;,1897-329,,,1897-11-25,Hotel Alcazar,,,,complete,4,51
14614,32219,Congress Hotel,Congress Hotel,,,,20.5x13cm folded; 20.5x26cm open,,American Bar Association,1916-0134_wotm,,,1916-09-01,Congress Hotel,,,,complete,4,21
12485,30027,,Cavanagh's,,,,35x25cm folded; 35x49.5cm open,,,1948-0034_wotm,,,1948-04-10,Cavanagh's,,Dollars,$,complete,3,438
4278,20633,,NIPPON YUSEN KAISHA -S.S.KINSHIN MARU,DINNER,COMMERCIAL,EN ROUTE,"BROADSHEET; ILLUS, JAPANESE COUNTRY; COL; 10.5 X 9.5;",,MENU HANDWRITTEN; MAP ON BACK SHOWING ROUTE;,1900-4916,,,1900-11-23,Nippon Yusen Kaisha  S.S.Kinshin Maru,,,,complete,2,16
8654,26029,,SUMMIT HOUSE,THANKSGIVING DAY DINNER,COMMERCIAL,"CRESTON, IOWA",BOOKLET; ILLUS SEEM TO BE HAND PAINTED; COL; 7 X 10.25;,SECULAR HOLIDAY. HOLIDAY;,MENU IS HANDWRITTEN; POEMS ALL HANDWRITTEN;,1898-352,,,1898-11-24,Summit House,,,,complete,4,19
2735,16963,,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSE,CARD; ILLUS; COL;5.25 X 8.25;,,MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF MEN AND WOMEN ON DECK; BACK OF MENU IMPRINTED FOR USE AS POSTCARD;,1901-1733,,,1901-06-22,Norddeutscher Lloyd Bremen,,,,complete,2,56
13429,31012,,"S.S. ""Normandie""""""",,,,22x17cm folded; 22x34cm open,,,1938-0159_wotm,,,1938-07-07,"S.S. ""Normandie""""""",,,,complete,2,60
859,13619,,HARLOW & KUCHLIN RESTAURANT OYSTER & CHOP HOUSE,MENU,COMMERCIAL,"NEW YORK, NY",FOLDER; 7X11;,DAILY;,A LA CARTE MENU; INCLUDES PRICED WINE & LIQUOR LIST;,1901-1009,,,1901-04-26,Harlow & Kuchlin Restaurant Oyster & Chop House,,Dollars,$,complete,4,476
14447,32050,Hotel Astor,Hotel Astor,,,,15x9.5cm folded; 15x27cm open,,,1919-0132_wotm,,,1919-10-10,Hotel Astor,,,,complete,2,17
7321,24354,,NORWEGIAN CLUB OF NEW YORK,BANQUET FO CAPT. ROALD AMUNDSEN,SOC;,"BROOKLY GERMANIA CLUB [BROOKLYN, NY]",BOOKLET; ILLUS; COL; 5.5 X 8;,COMPLIMENTARY/TESTIMONIAL,WINES WITH EACH COURSE; GRAY STOCK; COLORED ILLUSTRATION OF VIKING SHIP;,1906-801,,,1906-11-07,Norwegian Club Of New York,,,,complete,12,29
16688,34356,The New Morrison Hotel,The New Morrison Hotel,,,,22x12cm folded; 35x22cm open,,The Tavern Club,1914-1058_wotm,,,1914-12-29,The New Morrison Hotel,,,,complete,3,18
3967,20316,,HOTEL VICTORY,NOON DINNER,COMMERCIAL,"PUT-IN-BAY-ISLAND, LAKE ERIE, OH;",BROADSIDE; 4.5X6.75;,,,1900-4147,,,1900-08-24,Claremont Hotel,,,,complete,2,45
10122,27605,,"U.S.M.S. St. Louis, Dinner.",Dinner,,,,,,1910-966 Item B,,,1910-03-19,"U.S.M.S. St. Louis, Dinner.",,Dollars,$,complete,2,104
